project_id,street_name,limits,cnn,project_name_full,owner,description_full,dpw_project_class,facility_type,project_status,start_date,end_date,duration,facility_indicator,facility_subindicator,group_code,facility_type_description,create_date,modify_date,project_type,project_url,X,Y,latitude,longitude,location
DPW1012_PR_287,ANDERSON ST,EUGENIA AVE intersection,21210000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6007922.52638,2097716.2338,37.74037696404218,-122.41516877571264,"(37.74037696404218, -122.41516877571264)"
DPW0767_PR_85,ORTEGA ST,09TH AVE to 10TH AVE (200 - 299),9998000,Various Locations Pavement Renovation No 64,,,Paving,Roadway,Committed,06/22/2023 12:00:00 AM,06/21/2024 12:00:00 AM,365,Roadway Surface,,10037782,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5993303.43423,2102553.72207,37.75282706227498,-122.46606683890583,"(37.75282706227498, -122.46606683890583)"
DPW0938_PR_73,GOLD ST,SANSOME ST intersection,24713000,"Front St, Sansome St, 1st St and Montgomery St Pavement Renovation",,,Paving,Roadway,Planned,04/18/2026 12:00:00 AM,04/17/2027 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6012174.52649,2118206.15153,37.796875694346,-122.4019069469607,"(37.796875694346, -122.4019069469607)"
DPW0681_PR_163,DETROIT ST,STAPLES AVE intersection,22153000,Various Locations Pavement Renovation No 58,,,Paving,Roadway,Committed,03/22/2023 12:00:00 AM,09/21/2024 12:00:00 AM,549,Roadway Surface,,10037256,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5999420.04282,2093782.23205,37.72909362627022,-122.4442842693865,"(37.72909362627022, -122.4442842693865)"
DPW0386_PR_30,MISSION ST,LOWELL ST to WHIPPLE AVE \ WHIPPLE ST (5601 - 5649),9190000,Joint - SFMTA Lead - Mission St Pavement Renovation 2,,,Paving,Roadway,Planned,05/18/2029 12:00:00 AM,05/18/2030 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5998490.39878,2087245.55021,37.711092324449986,-122.44702789865943,"(37.711092324449986, -122.44702789865943)"
DPW0567_PR_5,BOWDOIN ST,OLMSTEAD ST to MANSELL ST (1200 - 1299),3048000,PW As Needed Concrete Panel Replacement,,,Paving,Roadway,Started,11/11/2019 12:00:00 AM,11/04/2022 12:00:00 AM,1089,Roadway Surface,,2935J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009774.12378,2090396.11719,37.72038136010018,-122.40825049485308,"(37.72038136010018, -122.40825049485308)"
DPW0429_PR_34,LAGUNA ST,POST ST to HEMLOCK ST (1600 - 1649),7964000,Golden Gate Ave and Laguna St Pavement Renovation,,,Paving,Roadway,Started,05/16/2022 12:00:00 AM,03/16/2023 12:00:00 AM,304,Roadway Surface,,10035254,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6004499.11962,2114407.9768,37.786015519015095,-122.4281948414836,"(37.786015519015095, -122.4281948414836)"
DPW0767_PR_107,27TH AVE,QUINTARA ST intersection,23288000,Various Locations Pavement Renovation No 64,,,Paving,Roadway,Committed,06/22/2023 12:00:00 AM,06/21/2024 12:00:00 AM,365,Roadway Surface,,10037782,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5987895.82855,2101007.16691,37.748267176893215,-122.48465366552783,"(37.748267176893215, -122.48465366552783)"
DPW0773_PR_31,FULTON ST,PIERCE ST intersection,26054000,Fulton St and Grove St Pavement Renovation,,,Paving,Roadway,Started,10/12/2021 12:00:00 AM,12/25/2022 12:00:00 AM,439,Roadway Surface,,10035255,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002506.59913,2111267.87471,37.77728065122154,-122.43486377197368,"(37.77728065122154, -122.43486377197368)"
DPW0526_PR_43,ALAMEDA ST,HAMPSHIRE ST intersection,24195000,PW Various Locations P R and Track Removal Project,,,Paving,Roadway,Planned,07/20/2024 12:00:00 AM,09/21/2026 12:00:00 AM,793,Roadway Surface,,2728J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009987.26032,2107842.63698,37.7682976277089,-122.40874393329995,"(37.7682976277089, -122.40874393329995)"
DPW1012_PR_108,EASTMAN ST,GREEN ST to RUSSELL ST (1 - 36),5043000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006976.61927,2118854.45802,37.79836431915785,-122.41993899310621,"(37.79836431915785, -122.41993899310621)"
DPW0943_PP_57,SURREY ST,DIAMOND ST to THOR AVE (100 - 150),12299000,As Needed Citywide Pavement Preservation Contract 5 (General As-Needed Contract G22),,,Paving,Roadway,Committed,04/17/2023 12:00:00 AM,10/21/2025 12:00:00 AM,918,Roadway Surface,,10037345,Roadway Surface / Paving-Microsurfacing,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Microsurfacing,,6002239.956,2096223.957,37.73595853886578,-122.43471015064166,"(37.73595853886578, -122.43471015064166)"
DPW0643_PR_164,18TH ST,LEXINGTON ST intersection,24156000,Various Locations Pavement Renovation No 55 and Sewer Replacement,,1233I,Paving,Roadway,Started,08/01/2022 12:00:00 AM,07/20/2024 12:00:00 AM,719,Roadway Surface,,10035932,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006450.58419,2105529.46538,37.76174747948022,-122.42081273593145,"(37.76174747948022, -122.42081273593145)"
DPW0939_PR_56,BROTHERHOOD WAY,CHURCH ACCESS RD to CHURCH ACCESS RD (851 - 899) -- SOUTH --,3242102,"Brotherhood Way, Holloway Ave and Lake Merced Blvd Pavement Renovation",,,Paving,Roadway,Planned,08/19/2025 12:00:00 AM,08/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5989104.955,2088671.939,37.71446815769264,-122.47957019920783,"(37.71446815769264, -122.47957019920783)"
DPW0883_PR_55,GREEN ST,LARKIN ST intersection,25314000,Various Locations Pavement Renovation No 63,,,Paving,Roadway,Committed,05/01/2023 12:00:00 AM,04/30/2024 12:00:00 AM,365,Roadway Surface,,10037763,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006811.71838,2118737.33885,37.798033447857854,-122.4205012836753,"(37.798033447857854, -122.4205012836753)"
DPW0567_PR_6,BOWDOIN ST,OLMSTEAD ST intersection,20852000,PW As Needed Concrete Panel Replacement,,,Paving,Roadway,Started,11/11/2019 12:00:00 AM,11/04/2022 12:00:00 AM,1089,Roadway Surface,,2935J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009699.80574,2090632.67316,37.72102673191164,-122.40852406742081,"(37.72102673191164, -122.40852406742081)"
DPW0649_PR_9,COLERIDGE ST,COSO AVE intersection,21303000,Joint - SFWD Lead - Prospect Ave Pavement Renovation (WD-2718),,,Paving,Roadway,Started,01/03/2022 12:00:00 AM,11/24/2023 12:00:00 AM,690,Roadway Surface,,2903J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6007100.50339,2099809.36368,37.74607799973151,-122.41815937111217,"(37.74607799973151, -122.41815937111217)"
DPW0861_PR_26,19TH ST,HAMPSHIRE ST intersection,24005000,Joint - SFWD Lead - WD-2801,,,Paving,Roadway,Planned,11/27/2022 12:00:00 AM,10/11/2024 12:00:00 AM,684,Roadway Surface,,10035391,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6010126.58215,2105036.73118,37.76060105163305,-122.40806412358533,"(37.76060105163305, -122.40806412358533)"
DPW0386_PR_47,FOOTE AVE,MISSION ST intersection,21505000,Joint - SFMTA Lead - Mission St Pavement Renovation 2,,,Paving,Roadway,Planned,05/18/2029 12:00:00 AM,05/18/2030 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5999162.69968,2087788.74523,37.71262220356644,-122.4447432907848,"(37.71262220356644, -122.4447432907848)"
DPW0429_PR_13,LAGUNA ST,PAGE ST to LILY ST (300 - 349),7944000,Golden Gate Ave and Laguna St Pavement Renovation,,,Paving,Roadway,Started,05/16/2022 12:00:00 AM,03/16/2023 12:00:00 AM,304,Roadway Surface,,10035254,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6005115.49,2109982.555,37.773899269192874,-122.42574726166902,"(37.773899269192874, -122.42574726166902)"
DPW0943_PP_3,05TH AVE,JUDAH ST \ PARNASSUS AVE to KIRKHAM ST (1400 - 1499),287000,As Needed Citywide Pavement Preservation Contract 5 (General As-Needed Contract G22),,,Paving,Roadway,Committed,04/17/2023 12:00:00 AM,10/21/2025 12:00:00 AM,918,Roadway Surface,,10037345,Roadway Surface / Paving-Microsurfacing,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Microsurfacing,,5994592.18015,2105660.21967,37.76143097328388,-122.46183538578568,"(37.76143097328388, -122.46183538578568)"
DPW1041_PR_8,MISSION ST,MINT ST to MARY ST (917 - 934),9098000,Joint - SFMTA MUNI Forward Lead - Mission Downtown West,,,Paving,Roadway,Planned,05/18/2025 12:00:00 AM,05/17/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6010533.50702,2112878.33187,37.78215505668827,-122.40720952859265,"(37.78215505668827, -122.40720952859265)"
DPW0937_PR_43,OAK ST,STEINER ST intersection,25994000,Various Locations Pavement Renovation No 78,,,Paving,Roadway,Planned,02/19/2025 12:00:00 AM,02/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6003172.636,2109970.792,37.77375697584668,-122.43246707032141,"(37.77375697584668, -122.43246707032141)"
DPW0429_PR_57,LAGUNA ST,OAK ST intersection,30069000,Golden Gate Ave and Laguna St Pavement Renovation,,,Paving,Roadway,Started,05/16/2022 12:00:00 AM,03/16/2023 12:00:00 AM,304,Roadway Surface,,10035254,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6005079.91945,2110238.05024,37.77459877174546,-122.42588849820304,"(37.77459877174546, -122.42588849820304)"
DPW1012_PR_59,AVERY ST,GEARY BLVD to POST ST (1 - 99),2566000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002858.39949,2113973.68086,37.78473008298796,-122.43384022985491,"(37.78473008298796, -122.43384022985491)"
DPW0931_PR_84,SACRAMENTO ST,WEBSTER ST to GOLDBERG LN (2400 - 2472),11255000,Various Locations Pavement Renovation No 85,,,Paving,Roadway,Planned,09/16/2025 12:00:00 AM,09/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6003143.54202,2115875.3825,37.789967849743185,-122.43298964494512,"(37.789967849743185, -122.43298964494512)"
DPW0681_PR_119,FRIDA KAHLO WAY,GENEVA AVE \ OCEAN AVE to JUDSON AVE (1 - 199),10390000,Various Locations Pavement Renovation No 58,,,Paving,Roadway,Committed,03/22/2023 12:00:00 AM,09/21/2024 12:00:00 AM,549,Roadway Surface,,10037256,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5997059.56,2092592.842,37.72569290116674,-122.4523588123125,"(37.72569290116674, -122.4523588123125)"
DPW0938_PR_28,MONTGOMERY ST,CLAY ST to MERCHANT ST (600 - 649),9304000,"Front St, Sansome St, 1st St and Montgomery St Pavement Renovation",,,Paving,Roadway,Planned,04/18/2026 12:00:00 AM,04/17/2027 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6011791.79226,2117482.11331,37.79486629171794,-122.40318034801881,"(37.79486629171794, -122.40318034801881)"
DPW0681_PR_92,AVALON AVE,LA GRANDE AVE to FELTON ST \ PERU AVE (953 - 999),2565000,Various Locations Pavement Renovation No 58,,,Paving,Roadway,Committed,03/22/2023 12:00:00 AM,09/21/2024 12:00:00 AM,549,Roadway Surface,,10037256,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6005327.177,2092169.084,37.72499954169147,-122.42374815769737,"(37.72499954169147, -122.42374815769737)"
DPW0931_PR_59,LAKE ST,30TH AVE to EL CAMINO DEL MAR (2900 - 2998) -- EAST --,8040201,Various Locations Pavement Renovation No 85,,,Paving,Roadway,Planned,09/16/2025 12:00:00 AM,09/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5986150.133,2114577.765,37.78542643920355,-122.49168898439699,"(37.78542643920355, -122.49168898439699)"
DPW0762_PR_182,COLE ST,RIVOLI ST intersection,26276000,Various Locations Pavement Renovation No 69,,,Paving,Roadway,Planned,12/20/2023 12:00:00 AM,12/18/2024 12:00:00 AM,364,Roadway Surface,,10038032,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5998224.44865,2105980.67327,37.762519290393925,-122.4492960234379,"(37.762519290393925, -122.4492960234379)"
DPW0686_PR_127,EDDY ST,PIERCE ST intersection,26068000,Various Locations Pavement Renovation No 60 and Sewer Replacement,,,Paving,Roadway,Committed,04/07/2023 12:00:00 AM,04/05/2024 12:00:00 AM,364,Roadway Surface,,10037391,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002317.24476,2112629.77422,37.78100933224744,-122.43561626516494,"(37.78100933224744, -122.43561626516494)"
DPW1051_PR_19,GRANT AVE,FRESNO ST to VALLEJO ST (1232 - 1299),6402000,Various Locations Pavement Renovation No 86,,,Paving,Roadway,Planned,10/19/2025 12:00:00 AM,10/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6010664.99386,2118876.89917,37.79863304268929,-122.40717761535973,"(37.79863304268929, -122.40717761535973)"
DPW0290_PR_46,SUNSET BLVD,VICENTE ST intersection,23378000,PW Sunset Blvd Pavement Renovation,,,Paving,Roadway,Planned,07/30/2023 12:00:00 AM,07/29/2024 12:00:00 AM,365,Roadway Surface,,10037890,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5985065.93609,2097508.81597,37.7384964397074,-122.49418139944535,"(37.7384964397074, -122.49418139944535)"
DPW1012_PR_102,DELLBROOK AVE,OLYMPIA WAY to GREENVIEW CT (300 - 384),4691000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5997224.237,2102210.2,37.75210926886117,-122.45248326251811,"(37.75210926886117, -122.45248326251811)"
DPW1022_PP_125,RIVOLI ST,SHRADER ST to STANYAN ST (200 - 299),11088000,PW StreetResurfacingPro- BSSR Pavement Prese FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,07/10/2023 12:00:00 AM,371,Roadway Surface,,10038990,Roadway Surface / Paving-Microsurfacing,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Microsurfacing,,5997609.53689,2105896.9501,37.76225421573062,-122.4514167294098,"(37.76225421573062, -122.4514167294098)"
DPW1012_PR_204,PARKER AVE,EUCLID AVE to GEARY BLVD (100 - 199),10274000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5996898.064,2113399.042,37.782812260904386,-122.45441937986712,"(37.782812260904386, -122.45441937986712)"
DPW0682_PR_145,MCKINNON AVE,NEWHALL ST intersection,20665000,Various Locations Pavement Renovation No 59,,,Paving,Roadway,Committed,02/13/2023 12:00:00 AM,02/17/2024 12:00:00 AM,369,Roadway Surface,,10037392,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6014858.80363,2096311.32447,37.73690674160967,-122.39108749998634,"(37.73690674160967, -122.39108749998634)"
DPW0682_PR_148,MCKINNON AVE,PHELPS ST intersection,20673000,Various Locations Pavement Renovation No 59,,,Paving,Roadway,Committed,02/13/2023 12:00:00 AM,02/17/2024 12:00:00 AM,369,Roadway Surface,,10037392,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6014323.73928,2096706.16728,37.73796119222028,-122.39296508611251,"(37.73796119222028, -122.39296508611251)"
DPW0429_PR_1,GOLDEN GATE AVE,VAN NESS AVE to FRANKLIN ST (600 - 699),6266000,Golden Gate Ave and Laguna St Pavement Renovation,,,Paving,Roadway,Started,05/16/2022 12:00:00 AM,03/16/2023 12:00:00 AM,304,Roadway Surface,,10035254,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006463.76103,2112513.94435,37.78092593414377,-122.42126315634937,"(37.78092593414377, -122.42126315634937)"
DPW1050_PR_93,KEARNY ST,MAIDEN LN to POST ST (31 - 99),7748000,Various Locations Pavement Renovation No 87,,,Paving,Roadway,Planned,11/16/2025 12:00:00 AM,11/15/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6011618.74497,2115225.61949,37.788660831972585,-122.40362027793165,"(37.788660831972585, -122.40362027793165)"
DPW1040_PR_1,MISSION ST,THE EMBARCADERO to STEUART ST (1 - 34),9082000,Joint - Streetscape Lead - Mission Downtown East,,Joint project with Streetscape PM lead Trent,Paving,Roadway,Planned,05/18/2025 12:00:00 AM,05/17/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6014768.8004,2116923.99696,37.79349963994533,-122.39284033201268,"(37.79349963994533, -122.39284033201268)"
DPW0643_PR_102,18TH ST,SAN CARLOS ST to LEXINGTON ST (3429 - 3464),879000,Various Locations Pavement Renovation No 55 and Sewer Replacement,,1233I,Paving,Roadway,Started,08/01/2022 12:00:00 AM,07/20/2024 12:00:00 AM,719,Roadway Surface,,10035932,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6006549.6649,2105535.01564,37.76176830327007,-122.42047044887913,"(37.76176830327007, -122.42047044887913)"
DPW0386_PR_21,MISSION ST,POPE ST to ALLISON ST (5201 - 5299),9181000,Joint - SFMTA Lead - Mission St Pavement Renovation 2,,,Paving,Roadway,Planned,05/18/2029 12:00:00 AM,05/18/2030 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5999924.311,2088653.421,37.71503985503427,-122.44217296298736,"(37.71503985503427, -122.44217296298736)"
DPW0939_PR_60,CAMBON DR,CASTELO AVE \ UNNAMED 088 to FONT BLVD (100 - 199),3615000,"Brotherhood Way, Holloway Ave and Lake Merced Blvd Pavement Renovation",,,Paving,Roadway,Planned,08/19/2025 12:00:00 AM,08/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5990662.644,2089439.444,37.71666589692089,-122.47424223081899,"(37.71666589692089, -122.47424223081899)"
DPW0765_PR_131,WINSTON DR,BROADMOOR DR to STONECREST DR (100 - 166),13683000,Various Locations Pavement Renovation No 68,,,Paving,Roadway,Planned,11/23/2023 12:00:00 AM,11/22/2024 12:00:00 AM,365,Roadway Surface,,10037805,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5990871.74143,2093151.89211,37.72687145772814,-122.47379016841239,"(37.72687145772814, -122.47379016841239)"
DPW1022_PP_137,07TH AVE,HUGO ST to IRVING ST (1247 - 1299),359000,PW StreetResurfacingPro- BSSR Pavement Prese FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,07/10/2023 12:00:00 AM,371,Roadway Surface,,10038990,Roadway Surface / Paving-Microsurfacing,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Microsurfacing,,5993931.63129,2106827.80386,37.76459880632176,-122.46420469896943,"(37.76459880632176, -122.46420469896943)"
DPW0090_PR_13,FILLMORE ST,PIXLEY ST to GREENWICH ST (3110 - 3199),5564000,Joint - MTA Lead - Fillmore St Pavement Renovation,,,Paving,Roadway,Planned,05/18/2027 12:00:00 AM,05/17/2028 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002391.94419,2119078.27645,37.79871950706165,-122.4358193638939,"(37.79871950706165, -122.4358193638939)"
DPW0767_PR_69,38TH AVE,LINCOLN WAY to IRVING ST (1200 - 1299),1851000,Various Locations Pavement Renovation No 64,,,Paving,Roadway,Committed,06/22/2023 12:00:00 AM,06/21/2024 12:00:00 AM,365,Roadway Surface,,10037782,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5984287.18213,2106669.79881,37.76360437028913,-122.49755008451932,"(37.76360437028913, -122.49755008451932)"
DPW0686_PR_111,ULLOA ST,15TH AVE to 16TH AVE (1400 - 1499),12792000,Various Locations Pavement Renovation No 60 and Sewer Replacement,,,Paving,Roadway,Committed,04/07/2023 12:00:00 AM,04/05/2024 12:00:00 AM,364,Roadway Surface,,10037391,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5991561.38303,2098413.14146,37.74135744096589,-122.47178938158439,"(37.74135744096589, -122.47178938158439)"
DPW0643_PR_147,HARRISON ST,24TH ST to 25TH ST (2800 - 2899),6757000,Various Locations Pavement Renovation No 55 and Sewer Replacement,,1233I,Paving,Roadway,Started,08/01/2022 12:00:00 AM,07/20/2024 12:00:00 AM,719,Roadway Surface,,10035932,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6008974.96583,2101866.30395,37.75183122856051,-122.4118230221532,"(37.75183122856051, -122.4118230221532)"
DPW1012_PR_167,LOOMIS ST,FLOWER ST to WATERLOO ST (120 - 255),8485000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6010777.794,2097766.429,37.74067485092266,-122.40529987159476,"(37.74067485092266, -122.40529987159476)"
DPW0740_PR_27,18TH AVE,TARAVAL ST intersection,23182000,Joint - SFMTA Lead - PW Taraval Street Improvement Project West Portal to Sunset Blvd,,,Paving,Roadway,Started,12/01/2021 12:00:00 AM,10/30/2023 12:00:00 AM,698,Roadway Surface,,2815J,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5990755.33869,2099063.54131,37.74309660063709,-122.47462382954382,"(37.74309660063709, -122.47462382954382)"
DPW0764_PR_141,PARKER AVE,TURK BLVD intersection,26481000,Various Locations Pavement Renovation No 67,,,Paving,Roadway,Planned,10/20/2023 12:00:00 AM,10/20/2024 12:00:00 AM,366,Roadway Surface,,10037804,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5997159.0389,2111577.90569,37.77782684967178,-122.45338499605981,"(37.77782684967178, -122.45338499605981)"
DPW0386_PR_29,MISSION ST,NAGLEE AVE to LOWELL ST (5587 - 5604),9189000,Joint - SFMTA Lead - Mission St Pavement Renovation 2,,,Paving,Roadway,Planned,05/18/2029 12:00:00 AM,05/18/2030 12:00:00 AM,365,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5998722.2567,2087394.32551,37.71151407192807,-122.4462372395778,"(37.71151407192807, -122.4462372395778)"
DPW1012_PR_184,NATOMA ST,02ND ST to NEW MONTGOMERY ST (100 - 132),9508000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6012899.866,2114563.797,37.786915115442554,-122.39914128580656,"(37.786915115442554, -122.39914128580656)"
DPW0683_PR_126,POST ST,SHANNON ST intersection,30053000,Various Locations Pavement Renovation No 62,,,Paving,Roadway,Planned,11/13/2023 12:00:00 AM,11/11/2024 12:00:00 AM,364,Roadway Surface,,10037764,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6009037.65357,2114952.6451,37.78776679383679,-122.41253120175156,"(37.78776679383679, -122.41253120175156)"
